,name,house,species,blood_status,da,oof,de,first_name,last_name
394,Golgomath,,Giant,,,,Death Eaters,Golgomath,
395,Tenebrus,,Magical creature,,,,,Tenebrus,
396,Andrew Kirke,Gryffindor,Human,,,,,Andrew,Kirke
397,Jack Sloper,Gryffindor,Human,,,,,Jack,Sloper
398,Everard,,Human,,,,,Everard,
399,Dilys Derwent,,Human,,,,,Dilys,Derwent
400,Elfrida Cragg,,Human,,,,,Elfrida,Cragg
401,Dexter Fortescue,,Human,,,,,Dexter,Fortescue
402,Dai Llewellyn,,Human,,,,,Dai,Llewellyn
403,Hippocrates Smethwyck,,Human,,,,,Hippocrates,Smethwyck
404,Augustus Pye,,Human,,,,,Augustus,Pye
405,Urquhart Rackharrow,,Human,,,,,Urquhart,Rackharrow
406,Willy Widdershins,,Human,,,,,Willy,Widdershins
407,Miriam Strout,,Human,,,,,Miriam,Strout
408,Janus Thickey,,Human,,,,,Janus,Thickey
409,Agnes,,Human,,,,,Agnes,
410,Agnes's son,,Human,,,,,Agnes's,son
411,Puddifoot,,Human,,,,,Puddifoot,
412,Summerby,Hufflepuff,Human,,,,,Summerby,
413,Tobias Snape,,Human,Muggle,,,,Tobias,Snape
414,Eileen Prince,Slytherin,Human,Pure-blood,,,,Eileen,Prince
415,John Dawlish,,Human,Pure-blood,,,Death Eaters,John,Dawlish
416,Stebbins,,Human,,,,,Stebbins,
417,Mr Montague,,Human,,,,,Mr,Montague
418,Mrs Montague,,Human,,,,,Mrs,Montague
419,Bradley,Ravenclaw,Human,,,,,Bradley,
420,Grawp,,Giant,Giant,,Order of the Phoenix,,Grawp,
421,Magorian,,Centaur,,,,,Magorian,
422,Chambers,Ravenclaw,Human,,,,,Chambers,
423,Eddie Carmichael,Ravenclaw,Human,,,,,Eddie,Carmichael
424,Harold Dingle,,Human,,,,,Harold,Dingle
425,Daphne Greengrass,Slytherin,Human,Pure-blood,,,,Daphne,Greengrass
426,Tofty,,Human,,,,,Tofty,
427,Pierre Bonaccord,,Human,,,,,Pierre,Bonaccord
428,Jugson,,Human,Pure-blood,,,Death Eaters,Jugson,
429,Williamson,,Human,,,,,Williamson,
430,Pandora Lovegood,Ravenclaw,Human,,,,,Pandora,Lovegood
431,Mrs Goyle,,Human,Pure-blood,,,,Mrs,Goyle
432,Herbert Chorley,,Human,Muggle,,,,Herbert,Chorley
433,Ulick Gamp,,Human,Pure-blood,,,,Ulick,Gamp
434,Fox near Spinner's End,,Animal,,,,,Fox,near Spinner's End
435,Corban Yaxley,,Human,Pure-blood,,,Death Eaters,Corban,Yaxley
436,Amycus Carrow,Slytherin,Human,Pure-blood,,,Death Eaters,Amycus,Carrow
437,Alecto Carrow,Slytherin,Human,Pure-blood,,,Death Eaters,Alecto,Carrow
438,Fenrir Greyback,,Human,,,,Death Eaters,Fenrir,Greyback
439,Horace Slughorn,Slytherin,Human,Pure-blood,Dumbledore's Army,Order of the Phoenix,,Horace,Slughorn
440,Dirk Cresswell,,Human,Muggle-born,,,,Dirk,Cresswell
441,Barnabus Cuffe,,Human,,,,,Barnabus,Cuffe
442,Ciceron Harkiss,,Human,,,,,Ciceron,Harkiss
443,Gwenog Jones,,Human,,,,,Gwenog,Jones
444,Arkie Philpott,,Human,,,,,Arkie,Philpott
445,Verity,,Human,,,,,Verity,
446,Arnold,,Magical creature,,,,,Arnold,
447,Romilda Vane,Gryffindor,Human,Pure-blood,Dumbledore's Army,,,Romilda,Vane
448,Cormac McLaggen,Gryffindor,Human,Pure-blood,Dumbledore's Army,,,Cormac,McLaggen
449,Marcus Belby,Ravenclaw,Human,Pure-blood,,,,Marcus,Belby
450,Damocles,,Human,,,,,Damocles,
451,Mr Belby,Ravenclaw,Human,,,,,Mr,Belby
452,Tiberius,,Human,,,,,Tiberius,
453,Bertie Higgs,,Human,,,,,Bertie,Higgs
454,Proudfoot,,Human,,,,,Proudfoot,
455,Savage,,Human,,,,,Savage,
456,Libatius Borage,,Human,,,,,Libatius,Borage
457,Hector Dagworth-Granger,,Human,Pure-blood,,,,Hector,Dagworth-Granger
458,Abraxas Malfoy,Slytherin,Human,Pure-blood,,,,Abraxas,Malfoy
459,Humphrey Belcher,,Human,,,,,Humphrey,Belcher
460,Bob Ogden,,Human,Pure-blood,,,,Bob,Ogden
461,Marvolo Gaunt,,Human,Pure-blood,,,,Marvolo,Gaunt
462,Morfin Gaunt,,Human,Pure-blood,,,,Morfin,Gaunt
463,Cecilia,,Human,Muggle,,,,Cecilia,
464,Mr Patil,,Human,,,,,Mr,Patil
465,Mrs Patil,,Human,,,,,Mrs,Patil
466,Mr Midgen,Gryffindor,Human,Pure-blood,,,,Mr,Midgen
467,Mrs Abbott,,Human,,,,,Mrs,Abbott
468,Demelza Robins,Gryffindor,Human,,,,,Demelza,Robins
469,Jimmy Peakes,Gryffindor,Human,Pure-blood,,,,Jimmy,Peakes
470,Ritchie Coote,Gryffindor,Human,,,,,Ritchie,Coote
471,Melinda Bobbin,,Human,Pure-blood,,,,Melinda,Bobbin
472,Leanne,Hufflepuff,Human,Pure-blood,Dumbledore's Army,,,Leanne,
473,Caractacus Burke,,Human,Pure-blood,,,,Caractacus,Burke
474,Mrs Cole,,Human,Muggle,,,,Mrs,Cole
475,Billy Stubbs,,Human,Muggle,,,,Billy,Stubbs
476,Eric Whalley,,Human,Muggle,,,,Eric,Whalley
477,Amy Benson,,Human,Muggle,,,,Amy,Benson
478,Dennis Bishop,,Human,Muggle,,,,Dennis,Bishop
479,Muriel,,Human,Pure-blood,,Order of the Phoenix,,Muriel,
480,Vaisey,Slytherin,Human,,,,,Vaisey,
481,Urquhart,Slytherin,Human,,,,,Urquhart,
482,Harper,Slytherin,Human,Pure-blood,,,,Harper,
483,Eldred Worple,,Human,,,,,Eldred,Worple
484,Sanguini,,Magical creature,,,,,Sanguini,
485,Gawain Robards,,Human,,,,,Gawain,Robards
486,Fergus,,Human,,,,,Fergus,
487,Galatea Merrythought,,Human,,,,,Galatea,Merrythought
488,Lestrange,Slytherin,Human,Pure-blood,,,,Lestrange,
489,Avery,Slytherin,Human,Pure-blood,,,,Avery,
490,Golpalott,,Human,,,,,Golpalott,
491,Wilkie Twycross,,Human,,,,,Wilkie,Twycross
492,Cadwallader,Hufflepuff,Human,,,,,Cadwallader,
493,Hokey,,House-elf,,,,,Hokey,
494,Hepzibah Smith,,Human,,,,,Hepzibah,Smith
495,Mulciber,,Human,Pure-blood,,,Death Eaters,Mulciber,
496,Octavius Pepper,,Human,,,,,Octavius,Pepper
497,Montgomery sisters,,Human,,,,,Montgomery,sisters
498,Montgomery,,Human,Pure-blood,,,,Montgomery,
499,Odo,,Human,,,,,Odo,
500,Bertram Aubrey,,Human,,,,,Bertram,Aubrey
501,Thorfinn Rowle,,Human,Pure-blood,,,Death Eaters,Thorfinn,Rowle
502,Gibbon,,Human,,,,Death Eaters,Gibbon,
503,Rupert Brookstanton,,Human,,,,,Rupert,Brookstanton
504,Albino peacock,,Animal,,,,,Albino,peacock
505,Pius Thicknesse,,Human,Pure-blood,,,Death Eaters,Pius,Thicknesse
506,Charity Burbage,,Human,Pure-blood,,,,Charity,Burbage
507,Percival Dumbledore,,Human,Pure-blood,,,,Percival,Dumbledore
508,Kendra Dumbledore,,Human,Muggle-born,,,,Kendra,Dumbledore
509,Ariana Dumbledore,,Human,Half-blood,,,,Ariana,Dumbledore
510,Betty Braithwaite,,Human,,,,,Betty,Braithwaite
511,Ivor Dillonsby,,Human,,,,,Ivor,Dillonsby
512,Selwyn,Slytherin,Human,Pure-blood,,,Death Eaters,Selwyn,
513,Monsieur Delacour,,Human,,,,,Monsieur,Delacour
514,Dragomir Gorgovitch,,Human,,,,,Dragomir,Gorgovitch
515,Beedle the Bard,,Human,,,,,Beedle,the Bard
516,Babbitty Rabbity,,Human,,,,,Babbitty,Rabbity
517,Lancelot,,Human,Pure-blood,,,,Lancelot,
518,Barny Weasley,,Human,Muggle,,,,Barny,Weasley
519,Potters' cat,,Animal,,,,,Potters',cat
520,Reginald Cattermole,,Human,Pure-blood,,,,Reginald,Cattermole
521,Albert Runcorn,,Human,Pure-blood,,,Death Eaters,Albert,Runcorn
522,Mary Cattermole,,Human,Muggle-born,,,,Mary,Cattermole
523,Wakanda,,Human,,,,,Wakanda,
524,Bernie,,Human,,,,,Bernie,
525,Bletchley,,Human,Pure-blood,,,,Bletchley,
526,Arkie Alderton,,Human,Pure-blood,,,,Arkie,Alderton
527,Maisie Cattermole,,Human,Half-blood,,,,Maisie,Cattermole
528,Ellie Cattermole,,Human,Half-blood,,,,Ellie,Cattermole
529,Alfred Cattermole,,Human,Half-blood,,,,Alfred,Cattermole
530,Gornuk,,Goblin,,,,,Gornuk,
531,Gamp,,Human,,,,,Gamp,
532,Bowman Wright,,Human,Half-blood,,,,Bowman,Wright
533,Ignotus Peverell,,Human,Pure-blood,,,,Ignotus,Peverell
534,Barnabus Finkley,,Human,,,,,Barnabus,Finkley
535,Enid Smeek,,Human,,,,,Enid,Smeek
536,Egbert the Egregious,,Human,,,,,Egbert,the Egregious
537,Godelot,,Human,,,,,Godelot,
538,Hereward,,Human,Pure-blood,,,,Hereward,
539,Loxias,,Human,,,,,Loxias,
540,Barnabas Deverill,,Human,,,,,Barnabas,Deverill
541,Arcus,,Human,,,,,Arcus,
542,Livius,,Human,,,,,Livius,
543,Antioch Peverell,,Human,Pure-blood,,,,Antioch,Peverell
544,Cadmus Peverell,,Human,Pure-blood,,,,Cadmus,Peverell
545,Scabior,Slytherin,Human,Pure-blood,,,Death Eaters,Scabior,
546,Dudley,,Human,Pure-blood,,,,Dudley,
547,Ragnuk,,Goblin,,,,,Ragnuk,
548,Edward Lupin,Hufflepuff,Human,Half-blood,,,,Edward,Lupin
549,Marius,,Human,Pure-blood,,,,Marius,
550,Bogrod,,Goblin,,,,,Bogrod,
551,Mary Macdonald,,Human,Muggle-born,,,,Mary,Macdonald
552,Lily Potter,Gryffindor,Human,Half-blood,,,,Lily,Potter
553,James Potter II,Gryffindor,Human,Half-blood,,,,James,Potter II
554,Albus Potter,Slytherin,Human,Half-blood,,,,Albus,Potter
555,James Potter's owl,,Animal,,,,,James,Potter's owl
556,Albus Potter's owl,,Animal,,,,,Albus,Potter's owl
557,Rose Weasley,Gryffindor,Human,Half-blood,,,,Rose,Weasley
558,Hugo Weasley,,Human,Half-blood,,,,Hugo,Weasley
559,Scorpius Malfoy,Slytherin,Human,Pure-blood,,,,Scorpius,Malfoy
560,Victoire Weasley,,Human,Half-breed,,,,Victoire,Weasley
561,Astoria Greengrass,,Human,Pure-blood,,,,Astoria,Greengrass
